Store,Week,Month,Day, Amount 
2336,17,4,4,14892.18
2336,17,4,5,14743.26
2336,17,4,6,19359.84
2336,17,4,7,19508.76
2336,18,5,1,13187.21
2336,18,5,2,12601.12
2336,18,5,3,12601.12
2336,18,5,4,23443.94
2336,18,5,5,16117.71
2336,18,5,6,21392.59
2336,18,5,7,21978.69
2336,19,5,1,13396.69
2336,19,5,2,12652.43
2336,19,5,3,12652.43
2336,19,5,4,12652.43
2336,19,5,5,14140.95
2336,19,5,6,20243.88
2336,19,5,7,20541.58
2336,20,5,1,16941.31
2336,20,5,2,10164.79
2336,20,5,3,10164.79
2336,20,5,4,10164.79
2336,20,5,5,11011.85
2336,20,5,6,16941.31
2336,20,5,7,17082.49
2336,21,5,1,11074.97
2336,21,5,2,10674.67
2336,21,5,3,10674.67
2336,21,5,4,13343.34
2336,21,5,5,12676.17
2336,21,5,6,21082.48
2336,21,5,7,21082.48
2336,22,6,1,14827.03
2336,22,6,2,14422.65
2336,22,6,3,14422.65
2336,22,6,4,14422.65
2336,22,6,5,15905.36
2336,22,6,6,20623.04
2336,22,6,7,21027.42
2336,23,6,1,19148.26
2336,23,6,2,12036.05
2336,23,6,3,12036.05
2336,23,6,4,12036.05
2336,23,6,5,15045.06
2336,23,6,6,19832.13
2336,23,6,7,19968.90
2336,24,6,1,11904.13
2336,24,6,2,11242.79
2336,24,6,3,11242.79
2336,24,6,4,11242.79
2336,24,6,5,12830.00
2336,24,6,6,19840.21
2336,24,6,7,19840.21
2336,25,6,1,12142.86
2336,25,6,2,11428.58
2336,25,6,3,11428.58
2336,25,6,4,11428.58
2336,25,6,5,13571.43
2336,25,6,6,18857.15
2336,25,6,7,19285.72
2336,26,6,1,11063.06
2336,26,6,2,10786.49
2336,26,6,3,13828.83
2336,26,6,4,12445.95
2336,26,6,5,15903.15
2336,26,6,6,21434.68
2336,26,6,7,21434.68
2336,27,7,1,13477.57
2336,27,7,2,12752.97
2336,27,7,3,12752.97
2336,27,7,4,12752.97
2336,27,7,5,14347.10
2336,27,7,6,22172.78
2336,27,7,7,22462.62
2336,28,7,1,12543.94
2336,28,7,2,11847.05
2336,28,7,3,11847.05
2336,28,7,4,11847.05
2336,28,7,5,13240.82
2336,28,7,6,18815.90
2336,28,7,7,19234.04
2336,29,7,1,11523.42
2336,29,7,2,10845.57
2336,29,7,3,10845.57
2336,29,7,4,10845.57
2336,29,7,5,12201.27
2336,29,7,6,17352.91
2336,29,7,7,17624.05
2336,30,7,1,11986.37
2336,30,7,2,11084.17
2336,30,7,3,11084.17
2336,30,7,4,14177.43
2336,30,7,5,14821.85
2336,30,7,6,21008.37
2336,30,7,7,21008.37
2336,31,8,1,13852.64
2336,31,8,2,13287.23
2336,31,8,3,13287.23
2336,31,8,4,13569.93
2336,31,8,5,14135.35
2336,31,8,6,21909.79
2336,31,8,7,21909.79
2336,32,8,1,12999.70
2336,32,8,2,12133.06
2336,32,8,3,12133.06
2336,32,8,4,12133.06
2336,32,8,5,13721.91
2336,32,8,6,20655.08
2336,32,8,7,20655.08
2336,33,8,1,12618.47
2336,33,8,2,11758.12
2336,33,8,3,11758.12
2336,33,8,4,11758.12
2336,33,8,5,13048.64
2336,33,8,6,18354.13
2336,33,8,7,18354.13
2336,34,8,1,11039.70
2336,34,8,2,10630.82
2336,34,8,3,10630.82
2336,34,8,4,10630.82
2336,34,8,5,11993.74
2336,34,8,6,19080.95
2336,34,8,7,19080.95
2336,35,9,1,14559.36
2336,35,9,2,12636.43
2336,35,9,3,12636.43
2336,35,9,4,13185.84
2336,35,9,5,14559.36
2336,35,9,6,23349.92
2336,35,9,7,24723.45
2336,36,9,1,17539.40
2336,36,9,2,12651.37
2336,36,9,3,12651.37
2336,36,9,4,12651.37
2336,36,9,5,17395.63
2336,36,9,6,19839.64
2336,36,9,7,19839.64
2336,37,9,1,12182.51
2336,37,9,2,11752.54
2336,37,9,3,11752.54
2336,37,9,4,11752.54
2336,37,9,5,12612.48
2336,37,9,6,18058.78
2336,37,9,7,18058.78
2336,38,9,1,13841.15
2336,38,9,2,16026.60
2336,38,9,3,11655.71
2336,38,9,4,11655.71
2336,38,9,5,12821.28
2336,38,9,6,17920.65
2336,38,9,7,17920.65
2336,39,9,1,11310.32
2336,39,9,2,10645.01
2336,39,9,3,10645.01
2336,39,9,4,13306.26
2336,39,9,5,13971.58
2336,39,9,6,21290.02
2336,39,9,7,21290.02
2336,40,10,1,13285.76
2336,40,10,2,12866.21
2336,40,10,3,12866.21
2336,40,10,4,13006.06
2336,40,10,5,13985.01
2336,40,10,6,21676.76
2336,40,10,7,21676.76
2336,41,10,1,11786.34
2336,41,10,2,11509.01
2336,41,10,3,11509.01
2336,41,10,4,11509.01
2336,41,10,5,13034.31
2336,41,10,6,18719.48
2336,41,10,7,18719.48
2336,42,10,1,11590.52
2336,42,10,2,11010.99
2336,42,10,3,11010.99
2336,42,10,4,11010.99
2336,42,10,5,12314.92
2336,42,10,6,17385.78
2336,42,10,7,17530.66
2336,43,10,1,17098.29
2336,43,10,2,11048.13
2336,43,10,3,11048.13
2336,43,10,4,11048.13
2336,43,10,5,12757.96
2336,43,10,6,19728.80
2336,43,10,7,19728.80
2336,44,11,1,12679.67
2336,44,11,2,11975.24
2336,44,11,3,11975.24
2336,44,11,4,11975.24
2336,44,11,5,13806.75
2336,44,11,6,21555.44
2336,44,11,7,21696.32
2336,45,11,1,12848.65
2336,45,11,2,11992.07
2336,45,11,3,11992.07
2336,45,11,4,11992.07
2336,45,11,5,13562.46
2336,45,11,6,20272.31
2336,45,11,7,20415.07
2336,46,11,1,12283.78
2336,46,11,2,11561.20
2336,46,11,3,11561.20
2336,46,11,4,11561.20
2336,46,11,5,12861.84
2336,46,11,6,18786.95
2336,46,11,7,18786.95
2336,47,11,1,10959.56
2336,47,11,2,10685.58
2336,47,11,3,10685.58
2336,47,11,4,10959.56
2336,47,11,5,12329.51
2336,47,11,6,17809.29
2336,47,11,7,17809.29
2336,48,12,1,14108.61
2336,48,12,2,12899.30
2336,48,12,3,12899.30
2336,48,12,4,12899.30
2336,48,12,5,14914.82
2336,48,12,6,21498.84
2336,48,12,7,21498.84
2336,49,12,1,12871.88
2336,49,12,2,12312.23
2336,49,12,3,12312.23
2336,49,12,4,12312.23
2336,49,12,5,13991.17
2336,49,12,6,20007.37
2336,49,12,7,20007.37
2336,50,12,1,12806.27
2336,50,12,2,12249.48
2336,50,12,3,12249.48
2336,50,12,4,12249.48
2336,50,12,5,13223.87
2336,50,12,6,18791.81
2336,50,12,7,18791.81
2336,51,12,1,12209.11
2336,51,12,2,11357.31
2336,51,12,3,11357.31
2336,51,12,4,14196.64
2336,51,12,5,14196.64
2336,51,12,6,22714.63
2336,51,12,7,22714.63
2336,52,12,1,14152.38
2336,52,12,2,13869.33
2336,52,12,3,15567.62
2336,52,12,4,18539.62
2336,52,12,5,14152.38
2336,52,12,6,22643.81
2336,52,12,7,22643.81
