StoreNo,StoreName,ATV,GOB,GOBE,Card_Sold,PWP,IPB,BCR,CCR
2030,AYER KEROH HEIGHTS, 48.6 ,0.1175,0.3000,740,0.3310,3.5,0.6392,0.5603
2047,BKT BARU MELAKA, 51.3 ,0.1258,0.3444,1160,0.3793,3.8,0.6667,0.5620
2056,MERLIMAU, 54.4 ,0.1220,0.3472,1110,0.3552,3.9,0.6427,0.5736
2086,JASIN BESTARI, 55.3 ,0.1176,0.3678,1070,0.3283,3.8,0.5665,0.4597
2256,TELOK MAS MELAKA, 43.0 ,0.1000,0.3000,400,0.1700,3.0,0.4500,0.3500
23,PLAZA METRO KAJANG, 49.6 ,0.1013,0.3825,700,0.2413,3.3,0.4950,0.4554
157,SEMENYIH, 47.8 ,0.1230,0.3190,400,0.3403,3.5,0.5888,0.6126
460,LOTUS'S SEMENYIH, 43.0 ,0.1259,0.3219,400,0.2551,3.2,0.5140,0.5054
493,PEARL AVENUE, 52.0 ,0.1081,0.3537,460,0.2583,3.6,0.4717,0.7897
495,LOTUS'S KAJANG, 46.9 ,0.1172,0.3486,420,0.2640,3.3,0.4710,0.4884
503,METRO POINT COMPLEX, 48.2 ,0.1081,0.3620,1250,0.2596,3.4,0.5776,0.3751
617,MYDIN MALL SEMENYIH, 43.0 ,0.1248,0.3409,400,0.2563,3.1,0.5177,0.6830
643,BANDAR KAJANG, 43.0 ,0.1131,0.3213,400,0.2761,3.1,0.6168,0.6405
657,VISTA VALLEY, 45.5 ,0.1303,0.3279,400,0.3001,3.2,0.5664,0.6015
2048,TMN PELANGI SEMENYIH, 44.8 ,0.1102,0.3169,400,0.2594,3.4,0.6232,0.5665
2094,TTDI GROVE, 47.9 ,0.1181,0.3223,400,0.3018,3.5,0.5109,0.5002
2105,ECOHILL SEMENYIH, 50.1 ,0.1188,0.3858,880,0.2686,3.5,0.5251,0.3500
2254,ECOHILL TAIPAN SEMENYIH, 43.0 ,0.1000,0.3000,400,0.1700,3.0,0.4500,0.3500
122,TAMPIN, 49.1 ,0.1101,0.3467,650,0.2625,3.3,0.4500,0.6612
235,AEON BANDARAYA MELAKA, 52.4 ,0.1056,0.3664,6400,0.2971,3.5,0.7257,0.7538
467,MYDIN PULAU SEBANG, 43.0 ,0.1213,0.3483,880,0.2860,3.1,0.4500,0.4430
568,FREEPORT A'FAMOSA, 44.7 ,0.1281,0.3621,2040,0.3207,4.0,0.6179,0.6148
674,CALTEX LEBUH SPA, 52.3 ,0.1254,0.3349,400,0.3248,3.8,0.5868,0.6628
2015,JELATANG ALOR GAJAH, 49.0 ,0.1183,0.3482,3300,0.3613,3.5,0.6791,0.6508
2059,ONE KRUBONG, 58.9 ,0.1232,0.3626,740,0.2994,4.1,0.6149,0.5315
2069,SUNGAI UDANG, 54.3 ,0.1119,0.3664,2040,0.3067,3.8,0.5877,0.7051
2096,MASJID TANAH MELAKA, 59.3 ,0.1356,0.4322,6920,0.5568,4.2,0.8990,0.5339
2197,MALIM JAYA, 68.8 ,0.1148,0.4124,2090,0.3062,4.0,0.5821,0.5262
2199,KUALA SUNGAI BARU, 47.2 ,0.1179,0.3534,2000,0.2981,3.5,0.7563,0.4928
199,BAHAU, 55.2 ,0.1152,0.3634,840,0.3071,3.8,0.5865,0.7205
288,SEGAMAT CENTRAL, 43.0 ,0.1165,0.3638,420,0.2704,3.2,0.5895,0.3500
338,SEGAMAT TWO, 53.0 ,0.1208,0.3416,400,0.3288,3.6,0.4866,0.5323
343,KIARA SQUARE BAHAU, 45.3 ,0.1141,0.3628,650,0.3160,3.4,0.6096,0.3499
418,LOTUS'S BAHAU, 49.0 ,0.1171,0.3771,420,0.3293,3.6,0.6134,0.6571
468,JALAN UTAMA SEGAMAT, 51.9 ,0.1301,0.3138,400,0.2840,3.8,0.5667,0.7237
470,LABIS JOHOR, 51.9 ,0.1245,0.3423,400,0.2971,3.8,0.6086,0.6223
676,U SENTRAL SEGAMAT, 47.4 ,0.1201,0.3568,600,0.2826,3.3,0.5110,0.3509
2014,KUALA PILAH, 47.4 ,0.1095,0.3569,790,0.2906,3.5,0.5405,0.8450
2083,HARMONI GEMAS, 56.2 ,0.1149,0.3768,700,0.4797,4.0,0.8646,0.4819
102,PORT DICKSON, 52.1 ,0.1347,0.3384,1580,0.4032,3.8,0.5734,0.6281
117,TAIPAN SENAWANG, 53.6 ,0.1364,0.3389,1250,0.3624,3.9,0.6593,0.7415
423,LOTUS'S SEREMBAN JAYA, 43.0 ,0.1229,0.3398,700,0.3139,3.1,0.5259,0.4464
439,LOTUS'S LUKUT, 47.2 ,0.1166,0.3502,930,0.3792,3.4,0.5185,0.4813
458,MYDIN MALL SENAWANG, 46.9 ,0.1330,0.4009,510,0.2965,3.4,0.5210,0.4947
565,KIP SENAWANG, 43.0 ,0.1268,0.3407,400,0.3249,3.3,0.5870,0.6539
